Scan,स्कैन,,"Scan ",,Scan
Settings,समायोजन,,Settings,,Settings
Activity,गतिविधि,,Activity,,Activity
"SEQR by DHIWAY","DHIWAY द्वारा SEQR",,seqrByDhiway,,"SEQR by DHIWAY"
"Looks like you have not scanned any QR codes yet! Please scan a QR code to see entries here","आप की तरह लग रहा अभी तक कोई QR कोड स्कैन नहीं किया! प्रविष्टियों यहाँ देखने के लिए एक QR कोड स्कैन करें",,noHistoryUseScan,,"Looks like you have not scanned any QR codes yet! Please scan a QR code to see entries here"
"You have disabled recording of your scan activity. If you wish to enable it, please visit Settings page to re-enable it. SEQR App will continue to work without any problem without activity recording. Click on Scan below to open camera to scan the codes","आप अपने स्कैन गतिविधि के विकलांग रिकॉर्डिंग की है। आप इसे सक्षम करना चाहते हैं, तो कृपया करने के लिए सेटिंग पृष्ठ पर जाएं यह पुनः सक्षम करें। SEQR एप्लिकेशन गतिविधि रिकॉर्डिंग के बिना किसी भी समस्या के बिना काम करना जारी रखेंगे। खुला कैमरे के लिए नीचे दिए गए स्कैन पर क्लिक करें कोड स्कैन करने",,disableActivityMessage,,"You have disabled recording of your scan activity. If you wish to enable it, please visit Settings page to re-enable it. SEQR App will continue to work without any problem without activity recording. Click on Scan below to open camera to scan the codes"
"SEQR is","SEQR है",,onboardTitle0,,"SEQR is"
"Always FREE","हमेशा मुक्त",,onboardSubTitle0,,"Always FREE"
"Welcome to a safe way to scan QR codes! With SEQR you can now see what is behind the QR, be informed about the security of the code, and whether it is safe or risky.","स्कैन QR कोड को एक सुरक्षित तरीका आपका स्वागत है! SEQR के साथ अब आप देख सकते हैं कि QR के पीछे है, और क्या यह सुरक्षित है या जोखिम भरा है कोड की सुरक्षा के बारे में सूचित किया।",,onboardDescription0,,"Welcome to a safe way to scan QR codes! With SEQR you can now see what is behind the QR, be informed about the security of the code, and whether it is safe or risky."
"Absolute Certainty in everyday transactions!","हर रोज लेन-देन में निरपेक्ष निश्चितता!",,onboardTopContent1,,"Absolute Certainty in everyday transactions!"
"How does it ","यह कैसे",,onboardTitle1,,"How does it "
WORK?,काम?,,onboardSubTitle1,,WORK?
"With SEQR, you can scan and read all kinds of QR Codes. It performs several checks using information from various online sources to identify potential security risks. It enables you to make informed decisions about whether or not to trust the codes and content.","SEQR के साथ, आप स्कैन और क्यूआर कोड के सभी प्रकार पढ़ सकते हैं। यह विभिन्न ऑनलाइन स्रोतों से जानकारी का उपयोग कर संभावित सुरक्षा जोखिमों की पहचान करने के लिए कई चेकों प्रदर्शन करती है। यह क्या है या नहीं कोड और सामग्री पर भरोसा करने के बारे में सूचित निर्णय करने के लिए सक्षम बनाता है।",,onboardDescription1,,"With SEQR, you can scan and read all kinds of QR Codes. It performs several checks using information from various online sources to identify potential security risks. It enables you to make informed decisions about whether or not to trust the codes and content."
"If you find a phishing web link, report it and help us make transactions safer","यदि आप एक फ़िशिंग वेब लिंक मिल जाए, इसकी रिपोर्ट करें और मदद हमें लेनदेन को सुरक्षित बनाने",,onboardCenterContent2,,"If you find a phishing web link, report it and help us make transactions safer"
"Join the movement for a","एक के लिए आंदोलन में शामिल होने",,onboardTitle2,,"Join the movement for a"
"Safer Internet","सुरक्षित इंटरनेट",,onboardSubTitle2,,"Safer Internet"
"Each time you come across an incorrectly categorized information, please report it to help more people stay safer online.","हर बार जब आप एक गलत तरीके से वर्गीकृत किया जानकारी के पार चलो, उसकी रिपोर्ट में मदद करने और अधिक लोगों को ऑनलाइन सुरक्षित रहें।",,onboardDescription2,,"Each time you come across an incorrectly categorized information, please report it to help more people stay safer online."
"Proceeding without access","उपयोग के बिना आगे बढ़ने",,permProceedWithout,,"Proceeding without access"
