Scan,സ്കാൻ,,"Scan ",,Scan
Settings,ക്രമീകരണങ്ങൾ,,Settings,,Settings
Activity,പ്രവർത്തനം,,Activity,,Activity
"SEQR by DHIWAY","ധിവയ് പ്രകാരം SEQR",,seqrByDhiway,,"SEQR by DHIWAY"
"Looks like you have not scanned any QR codes yet! Please scan a QR code to see entries here","നിങ്ങൾ  ഇതുവരെ ഒരു QR കോഡുകളുംസ്കാൻ ചെയ്തിട്ടില്ലെന്ന് തോന്നുന്നു! ഇവിടെ എൻട്രികൾ കാണാൻ ഒരു QR കോഡ് സ്കാൻ ചെയ്യുക",,noHistoryUseScan,,"Looks like you have not scanned any QR codes yet! Please scan a QR code to see entries here"
"You have disabled recording of your scan activity. If you wish to enable it, please visit Settings page to re-enable it. SEQR App will continue to work without any problem without activity recording. Click on Scan below to open camera to scan the codes","നിങ്ങളുടെ സ്കാൻ പ്രവർത്തനത്തിന്റെ റെക്കോർഡിംഗ് നിങ്ങൾ അപ്രാപ്തമാക്കി. ഇത് പ്രവർത്തനക്ഷമമാക്കാൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുവെങ്കിൽ, അത് വീണ്ടും പ്രവർത്തനക്ഷമമാക്കാൻ ക്രമീകരണ പേജ് സന്ദർശിക്കുക. ആക്റ്റിവിറ്റി റെക്കോർഡിംഗ് ഇല്ലാതെ തന്നെ SEQR അപ്ലിക്കേഷൻ ഒരു പ്രശ്നവുമില്ലാതെ പ്രവർത്തിക്കുന്നത് തുടരും. കോഡുകൾ സ്കാൻ ചെയ്യുന്നതിന് ക്യാമറ തുറക്കുന്നതിന് ചുവടെയുള്ള സ്കാൻ ക്ലിക്കുചെയ്യുക",,disableActivityMessage,,"You have disabled recording of your scan activity. If you wish to enable it, please visit Settings page to re-enable it. SEQR App will continue to work without any problem without activity recording. Click on Scan below to open camera to scan the codes"
"SEQR is",SEQR,,onboardTitle0,"'is always free' = എല്ലായ്പ്പോഴും സൗജന്യമാണ്","SEQR is"
"Always FREE","എല്ലായ്പ്പോഴും സൗജന്യമാണ്",,onboardSubTitle0,,"Always FREE"
"Welcome to a safe way to scan QR codes! With SEQR you can now see what is behind the QR, be informed about the security of the code, and whether it is safe or risky.","QR കോഡുകൾ സ്കാൻ ചെയ്യുന്നതിനുള്ള ഒരു സുരക്ഷിത മാർഗത്തിലേക്ക് സ്വാഗതം! SEQR ഉപയോഗിച്ച് നിങ്ങൾക്ക് ഇപ്പോൾ QR ന് പിന്നിലുള്ളത് കാണാൻ കഴിയും, കോഡിന്റെ സുരക്ഷയെക്കുറിച്ചും അത് സുരക്ഷിതമാണോ അല്ലെങ്കിൽ അപകടകരമാണോ എന്നതിനെക്കുറിച്ചും അറിയാൻ കഴിയും.",,onboardDescription0,,"Welcome to a safe way to scan QR codes! With SEQR you can now see what is behind the QR, be informed about the security of the code, and whether it is safe or risky."
"Absolute Certainty in everyday transactions!","ദൈനംദിന ഇടപാടുകളിൽ സമ്പൂർണ്ണ ഉറപ്പ്!",,onboardTopContent1,,"Absolute Certainty in everyday transactions!"
"How does it ","ഇത് എങ്ങനെ",,onboardTitle1,,"How does it "
WORK?,പ്രവർത്തിക്കുന്നു?,,onboardSubTitle1,,WORK?
"With SEQR, you can scan and read all kinds of QR Codes. It performs several checks using information from various online sources to identify potential security risks. It enables you to make informed decisions about whether or not to trust the codes and content.","SEQR ഉപയോഗിച്ച്, നിങ്ങൾക്ക് എല്ലാത്തരം QR കോഡുകളും സ്കാൻ ചെയ്യാനും വായിക്കാനും കഴിയും. സുരക്ഷാ അപകടസാധ്യതകൾ തിരിച്ചറിയുന്നതിന് വിവിധ ഓൺലൈൻ ഉറവിടങ്ങളിൽ നിന്നുള്ള വിവരങ്ങൾ ഉപയോഗിച്ച് ഇത് നിരവധി പരിശോധനകൾ നടത്തുന്നു. കോഡുകളെയും ഉള്ളടക്കത്തെയും വിശ്വസിക്കണോ വേണ്ടയോ എന്ന് തീരുമാനമെടുക്കാൻ ഇത് നിങ്ങളെ പ്രാപ്‌തമാക്കുന്നു."",
",,onboardDescription1,,"With SEQR, you can scan and read all kinds of QR Codes. It performs several checks using information from various online sources to identify potential security risks. It enables you to make informed decisions about whether or not to trust the codes and content."
"If you find a phishing web link, report it and help us make transactions safer","നിങ്ങൾ ഒരു ഫിഷിംഗ് വെബ് ലിങ്ക് കണ്ടെത്തുകയാണെങ്കിൽ, അത് റിപ്പോർട്ടുചെയ്ത് ഇടപാടുകൾ സുരക്ഷിതമാക്കാൻ ഞങ്ങളെ സഹായിക്കുക",,onboardCenterContent2,,"If you find a phishing web link, report it and help us make transactions safer"
"Join the movement for a","ഒരു മൂവ്മെന്റ് ചേരുക",,onboardTitle2,"join the movement for a safer internet- can be split into 
1) safer internet -സുരക്ഷിതമായ ഇന്റർനെറ്റിനായി 
2) join the movement- പ്രസ്ഥാനത്തിൽ ചേരുക","Join the movement for a"
"Safer Internet","സുരക്ഷിത 
ഇന്റർനെറ്റിനായി",,onboardSubTitle2,,"Safer Internet"
"Each time you come across an incorrectly categorized information, please report it to help more people stay safer online.","ഓരോ തവണയും തെറ്റായി വർഗ്ഗീകരിച്ച വിവരങ്ങൾ കാണുമ്പോൾ, കൂടുതൽ ആളുകളെ ഓൺലൈനിൽ സുരക്ഷിതമായി തുടരാൻ സഹായിക്കുന്നതിന് ദയവായി റിപ്പോർട്ടുചെയ്യുക.",,onboardDescription2,,"Each time you come across an incorrectly categorized information, please report it to help more people stay safer online."
"Proceeding without access","ആക്സസ് ഇല്ലാതെ മുന്നോട്ടു",,permProceedWithout,,"Proceeding without access"
"SEQR needs access to ","SEQR ന് ആക്സസ് ആവശ്യമാണ്",,permSeqrAsk,,"SEQR needs access to "
Deny,നിരസിക്കുക,,permDeny,,Deny
Camera,"
ക്യാമറ",,permAccessCamera,,Camera
"to scan QR Codes","
QR കോഡുകൾ സ്കാൻ ചെയ്യുന്നതിന്",,permCameraReason,,"to scan QR Codes"
"Storage,","സ്റ്റോറേജ്,",,permAccessStorage,,"Storage,"
"to read uploaded QR Code images","അപ്ലോഡ് QR കോഡ് ചിത്രങ്ങൾ വായിക്കാൻ",,permStorageReason,,"to read uploaded QR Code images"
Location,സ്ഥലം,,locationLabel,,Location
"to remind you of where a QR Code (in activity) was scanned","ഒരു ക്യുആർ കോഡ് (പ്രവർത്തനത്തിൽ) എവിടെയാണ് സ്കാൻ ചെയ്തതെന്ന് നിങ്ങളെ ഓർമ്മിപ്പിക്കാൻ",,permLocationReason,,"to remind you of where a QR Code (in activity) was scanned"
"Grant permissions","
അനുമതികൾ അനുവദിക്കുക",,permGrant,,"Grant permissions"
"(Not Secure!)",(സുരക്ഷിതമല്ല!),,dBtnWarning,,"(Not Secure!)"
(Dangerous!),(അപകടകരമായത്!),,dBtnRisky,,(Dangerous!)
"Copied QR Content","ക്യുആർ ഉള്ളടക്കം പകർത്തി",,dQrContentCopied,,"Copied QR Content"
"Translated Text","വിവർത്തനം ചെയ്ത വാചകം",,dTranslatedText,,"Translated Text"
"No Camera Access","ക്യാമറ ആക്സസ് ഇല്ല",,scanNoCameraAccess,,"No Camera Access"
"Without access to the Camera, SEQR can't scan QR Codes","ക്യാമറയിലേക്ക് ആക്‌സസ് ഇല്ലാതെ, SEQR ന് QR കോഡുകൾ സ്കാൻ ചെയ്യാൻ കഴിയില്ല",,scanNoCameraAccessDetail,,"Without access to the Camera, SEQR can't scan QR Codes"
"Timeout. No QRs Scanned","ടൈം ഔട്ട്. QR- കൾ സ്‌കാൻ ചെയ്‌തിട്ടില്ല.",,scanTimeout,,"Timeout. No QRs Scanned"
"Not scanned any codes in the last 30 seconds, reopen Scan tab when you are ready to scan.

Keeping the camera on for long may drain battery.
Opening the Activity tab.","അവസാന 30 സെക്കൻഡിനുള്ളിൽ ഒരു കോഡുകളും സ്കാൻ ചെയ്തിട്ടില്ല, നിങ്ങൾ സ്കാൻ ചെയ്യാൻ തയ്യാറാകുമ്പോൾ സ്കാൻ ടാബ് വീണ്ടും തുറക്കുക.

ക്യാമറ ദീർഘനേരം നിലനിർത്തുന്നത് ബാറ്ററി കളയുന്നു.
പ്രവർത്തന ടാബ് തുറക്കുന്നു.",,scanTimeoutText,,"Not scanned any codes in the last 30 seconds, reopen Scan tab when you are ready to scan.

Keeping the camera on for long may drain battery.
Opening the Activity tab."
"Find a code to scan","സ്കാൻ ഒരു കോഡ് കണ്ടെത്തുക",,scanQrHint,,"Find a code to scan"
