Key,Translated Text
Scan,స్కాన్
Settings,సెట్టింగులు
Activity,కార్యాచరణ
seqrByDhiway,DHIWAY ద్వారా SEQR
noHistoryUseScan,మీరు కనిపిస్తోంది ఇంకా ఏ QR సంకేతాలు స్కాన్ లేదు! ఇక్కడ ఎంట్రీలు చూడటానికి ఒక QR కోడ్ స్కాన్ చేయండి
disableActivityMessage,"మీరు మీ స్కాన్ సూచించే వికలాంగ రికార్డింగ్ కలిగి. మీరు దాన్ని ఎనేబుల్ అనుకుంటే, దయచేసి చేయడానికి సెట్టింగ్ల పేజీని సందర్శించండి పునఃప్రారంభించే. SEQR అనువర్తన కార్యాచరణ రికార్డింగ్ లేకుండా ఏ సమస్య లేకుండా పని కొనసాగుతుంది. సంకేతాలు స్కాన్ ఓపెన్ కెమెరా క్రింద స్కాన్ క్లిక్"
onboardTitle0,SEQR ఉంది
onboardSubTitle0,వుచితం
onboardDescription0,"స్కాన్ QR సంకేతాలు ఒక సురక్షితమైన మార్గంగా స్వాగతం! SEQR మీరు ఇప్పుడు QR వెనుక ఏమి కోడ్ యొక్క భద్రత గురించి సమాచారం, మరియు అది సురక్షితంగా లేదా ప్రమాదకర ఉంది అనే చూడగలరు."
onboardTopContent1,రోజువారీ లావాదేవీలు లో సంపూర్ణ ఖచ్చితత్వం!
onboardTitle1,అది ఎలా
onboardSubTitle1,WORK?
onboardDescription1,"SEQR, మీరు స్కాన్ మరియు QR కోడులు అన్ని రకాల చదువుకోవచ్చు. ఇది సమర్థవంతమైన భద్రతా అపాయాలు గుర్తించడానికి అనేక ఆన్లైన్ వనరుల నుండి సమాచారాన్ని ఉపయోగించి అనేక తనిఖీలు అమలు చేస్తుంది. ఇది సంకేతాలు మరియు కంటెంట్ విశ్వసించాలని లేదో గురించి తెలియజేయబడిన నిర్ణయాలు చేయడానికి మిమ్మల్ని అనుమతిస్తుంది."
onboardCenterContent2,"మీరు ఒక ఫిషింగ్ వెబ్ లింక్ కనుగొంటే, దాన్ని నివేదించండి మరియు సహాయం మాకు లావాదేవీలు సురక్షితమైన చేయడానికి"
onboardTitle2,ఒక ఉద్యమం చేరండి
onboardSubTitle2,సురక్షితమైన ఇంటర్నెట్
onboardDescription2,"మీరు ఒక తప్పుగా వర్గీకరించబడింది సమాచారాన్ని చూడవచ్చును ప్రతిసారి, ఎక్కువ మంది సురక్షితమైన ఉండడానికి ఆన్లైన్ సహాయం రిపోర్టు చెయ్యండి."
