"Term","Translated Text","Context","Reference","Comment"
"Scan","Scan",,"Scan ",
"Settings","Settings",,"Settings",
"Activity","Activity",,"Activity",
"SEQR by DHIWAY","SEQR by DHIWAY",,"seqrByDhiway",
"Looks like you have not scanned any QR codes yet! Please scan a QR code to see entries here","Looks like you have not scanned any QR codes yet! Please scan a QR code to see entries here",,"noHistoryUseScan",
"You have disabled recording of your scan activity. If you wish to enable it, please visit Settings page to re-enable it. SEQR App will continue to work without any problem without activity recording. Click on Scan below to open camera to scan the codes","You have disabled recording of your scan activity. If you wish to enable it, please visit Settings page to re-enable it. SEQR App will continue to work without any problem without activity recording. Click on Scan below to open camera to scan the codes",,"disableActivityMessage",
"SEQR is","SEQR is",,"onboardTitle0",
"Always FREE","Always FREE",,"onboardSubTitle0",
"Welcome to a safe way to scan QR codes! With SEQR you can now see what is behind the QR, be informed about the security of the code, and whether it is safe or risky.","Welcome to a safe way to scan QR codes! With SEQR you can now see what is behind the QR, be informed about the security of the code, and whether it is safe or risky.",,"onboardDescription0",
"Absolute Certainty in everyday transactions!","Absolute Certainty in everyday transactions!",,"onboardTopContent1",
"How does it ","How does it ",,"onboardTitle1",
"WORK?","WORK?",,"onboardSubTitle1",
"With SEQR, you can scan and read all kinds of QR Codes. It performs several checks using information from various online sources to identify potential security risks. It enables you to make informed decisions about whether or not to trust the codes and content.","With SEQR, you can scan and read all kinds of QR Codes. It performs several checks using information from various online sources to identify potential security risks. It enables you to make informed decisions about whether or not to trust the codes and content.",,"onboardDescription1",
"If you find a phishing web link, report it and help us make transactions safer","If you find a phishing web link, report it and help us make transactions safer",,"onboardCenterContent2",
"Join the movement for a","Join the movement for a",,"onboardTitle2",
"Safer Internet","Safer Internet",,"onboardSubTitle2",
"Each time you come across an incorrectly categorized information, please report it to help more people stay safer online.","Each time you come across an incorrectly categorized information, please report it to help more people stay safer online.",,"onboardDescription2",
"Proceeding without access","Proceeding without access",,"permProceedWithout",
"SEQR needs access to ","SEQR needs access to ",,"permSeqrAsk",
"Deny","Deny",,"permDeny",
"Camera","Camera",,"permAccessCamera",
"to scan QR Codes","to scan QR Codes",,"permCameraReason",
"Storage,","Storage,",,"permAccessStorage",
"to read uploaded QR Code images","to read uploaded QR Code images",,"permStorageReason",
"Location","Location",,"permAccessLocation",
"to remind you of where a QR Code (in activity) was scanned","to remind you of where a QR Code (in activity) was scanned",,"permLocationReason",
"Grant permissions","Grant permissions",,"permGrant",
"(Not Secure!)","(Not Secure!)",,"dBtnWarning",
"(Dangerous!)","(Dangerous!)",,"dBtnRisky",
"Copied QR Content","Copied QR Content",,"dQrContentCopied",
"Translated Text","Translated Text",,"dTranslatedText",
"No Camera Access","No Camera Access",,"scanNoCameraAccess",
"Without access to the Camera, SEQR can't scan QR Codes","Without access to the Camera, SEQR can't scan QR Codes",,"scanNoCameraAccessDetail",
"Timeout. No QRs Scanned","Timeout. No QRs Scanned",,"scanTimeout",
"Not scanned any codes in the last 30 seconds, reopen Scan tab when you are ready to scan.\n\nKeeping the camera on for long may drain battery.\nOpening the Activity tab.","Not scanned any codes in the last 30 seconds, reopen Scan tab when you are ready to scan.\n\nKeeping the camera on for long may drain battery.\nOpening the Activity tab.",,"scanTimeoutText",
"Find a code to scan","Find a code to scan",,"scanQrHint",
"SEQR is designed to scan and read all kinds of QR Codes and identify unsafe content that you may come across. It performs several checks in addition to using information from various online sources to identify potential security risks. It enables you to make informed decisions about whether or not to trust the codes and content.","SEQR is designed to scan and read all kinds of QR Codes and identify unsafe content that you may come across. It performs several checks in addition to using information from various online sources to identify potential security risks. It enables you to make informed decisions about whether or not to trust the codes and content.",,"settingAboutSEQR",
"Safe Browsing","Safe Browsing",,"settingSafeAdvisory",
"Terms of Service","Terms of Service",,"settingUserAgreement",
"Privacy Policy","Privacy Policy",,"settingPrivacyPolicy",
"About Dhiway","About Dhiway",,"settingAboutDhiway",
"Select your language","Select your language",,"settingLangChange",
"Activity as default screen","Activity as default screen",,"defaultscreentext",
"Record Activity","Record Activity",,"Historyneedtext",
"English","English",,"English",
"Kannada","Kannada",,"Kannada",
"Malayalam","Malayalam",,"Malayalam",
"Bengali","Bengali",,"Bengali",
"Hindi","Hindi",,"Hindi",
"Book ISBN","Book ISBN",,"bookQR",
"The code you scanned contains the following detail","The code you scanned contains the following detail",,"textQR",
"Event","Event",,"eventLabel",
"Name","Name",,"nameLabel",
"Address","Address",,"addressLabel",
"Amount","Amount",,"amountLabel",
"Payment","Payment",,"paymentLabel",
"Date","Date",,"dateLabel",
"Starts at","Starts at",,"startsAtLabel",
"Location","Location",,"locationLabel",
