"Term ","Translated Text","Context","Reference","Comment"
"Scan","ஊடுகதிர்",,"Scan ",
"Settings","அமைப்புகள்",,"Settings",
"Activity","செயல்பாடு",,"Activity",
"SEQR by DHIWAY","DHIWAY மூலம் SEQR",,"seqrByDhiway",
"Looks like you have not scanned any QR codes yet! Please scan a QR code to see entries here","உங்களைப் போன்ற தோற்றம் இன்னும் எந்த விரைவான பதில் குறியீடுகள் ஸ்கேன் இல்லை! இங்கே உள்ளீடுகளை பார்க்க ஒரு QR குறியீட்டை ஸ்கேன் செய்யவும்",,"noHistoryUseScan",
"You have disabled recording of your scan activity. If you wish to enable it, please visit Settings page to re-enable it. SEQR App will continue to work without any problem without activity recording. Click on Scan below to open camera to scan the codes","நீங்கள் உங்கள் ஸ்கேன் நடவடிக்கை ஊனமுற்றோர் பதிவுசெய்யப்படுகிறது. அதனை இயக்க விரும்பினால், அமைப்புகள் பக்கத்தைப் பார்வையிடவும் அது மீண்டும் இயக்கும். SEQR பயன்பாட்டின் செயல்பாடு பதிவு இல்லாமல் எந்த பிரச்சனையும் இல்லாமல் வேலை தொடரும். குறியீடுகள் ஸ்கேன் கேமராவை கீழே ஸ்கேன் கிளிக்",,"disableActivityMessage",
"SEQR is","SEQR உள்ளது",,"onboardTitle0",
"Always FREE","எப்போதும் இலவச",,"onboardSubTitle0",
"Welcome to a safe way to scan QR codes! With SEQR you can now see what is behind the QR, be informed about the security of the code, and whether it is safe or risky.","ஸ்கேன் விரைவான பதில் குறியீடுகள் ஒரு பாதுகாப்பான வழிமுறைக்கு வரவேற்கிறோம்! SEQR நீங்கள் இப்போது க்யூ பின்னால் என்ன, குறியீடு பாதுகாப்பு குறித்து தகவல் தெரிவிக்க வேண்டும், அவை பாதுகாப்பானதா அல்லது அபாயமானது என்பதை பார்க்க முடியும்.",,"onboardDescription0",
"Absolute Certainty in everyday transactions!","தினமும் பரிவர்த்தனைகளில் முழுமையான நிலைத்தன்மை!",,"onboardTopContent1",
"How does it ","எப்படி அது",,"onboardTitle1",
"WORK?","வேலை?",,"onboardSubTitle1",
"With SEQR, you can scan and read all kinds of QR Codes. It performs several checks using information from various online sources to identify potential security risks. It enables you to make informed decisions about whether or not to trust the codes and content.","SEQR, நீங்கள் ஸ்கேன் மற்றும் க்யூ குறியீடுகள் அனைத்து வகையான படிக்க முடியும். அது உள்ளார்ந்த பாதுகாப்பு அபாயங்களைக் கண்டறிய பல்வேறு ஆன்லைன் ஆதாரங்களில் இருந்து தகவல் பயன்படுத்தி பல காசோலைகளை செய்கிறது. அது குறியீடுகள் மற்றும் உள்ளடக்கம் நம்ப இல்லையா என்பதை பற்றி தகவலறிந்த முடிவுகளை எடுக்க நீங்கள் செயல்படுத்துகிறது.",,"onboardDescription1",
"If you find a phishing web link, report it and help us make transactions safer","நீங்கள் ஃபிஷிங் இணையதள இணைப்பு கண்டால், அது குறித்து மற்றும் உதவி எங்களுக்கு பரிமாற்றங்கள் பாதுகாப்பாக வைப்பதற்கு",,"onboardCenterContent2",
"Join the movement for a","ஒரு இயக்கம் சேர",,"onboardTitle2",
"Safer Internet","பாதுகாப்பான இணைய",,"onboardSubTitle2",
