"Term ","Translated Text","Context ","Reference","Comment"
"Scan","ಸ್ಕ್ಯಾನ್",,"Scan ",
"Settings","ಸಂಯೋಜನೆಗಳು",,"Settings",
"Activity","ಚಟುವಟಿಕೆ",,"Activity",
"SEQR by DHIWAY","DHIWAY ಮೂಲಕ SEQR",,"seqrByDhiway",
"Looks like you have not scanned any QR codes yet! Please scan a QR code to see entries here","ನಿಮ್ಮಂತಹ ನೋಟ ಇನ್ನೂ ಯಾವುದೇ QR ಸಂಕೇತಗಳು ಸ್ಕ್ಯಾನ್! ಇಲ್ಲಿ ನಮೂದುಗಳನ್ನು ನೋಡಲು QR ಕೋಡ್ ಸ್ಕ್ಯಾನ್ ಮಾಡಿ",,"noHistoryUseScan",
"You have disabled recording of your scan activity. If you wish to enable it, please visit Settings page to re-enable it. SEQR App will continue to work without any problem without activity recording. Click on Scan below to open camera to scan the codes","ನಿಮ್ಮ ಸ್ಕ್ಯಾನ್ ಚಟುವಟಿಕೆಯ ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆ ರೆಕಾರ್ಡಿಂಗ್ ಹೊಂದಿವೆ. ನೀವು ಸಕ್ರಿಯಗೊಳಿಸಲು ಬಯಸಿದಲ್ಲಿ, ಸೆಟ್ಟಿಂಗ್ಗಳ ಪುಟಕ್ಕೆ ಭೇಟಿ ನೀಡಿ ಮರು-ಸಕ್ರಿಯಗೊಳಿಸಿ. SEQR ಅಪ್ಲಿಕೇಶನ್ ಚಟುವಟಿಕೆ ರೆಕಾರ್ಡಿಂಗ್ ಯಾವುದೇ ಸಮಸ್ಯೆ ಇಲ್ಲದೆ ಕಾರ್ಯ ಮುಂದುವರಿಯುತ್ತದೆ. ಸಂಕೇತಗಳು ಸ್ಕ್ಯಾನ್ ಕ್ಯಾಮರಾ ತೆರೆ ಕೆಳಗಿನ ಸ್ಕ್ಯಾನ್ ಮೇಲೆ ಕ್ಲಿಕ್",,"disableActivityMessage",
"SEQR is","SEQR ಆಗಿದೆ",,"onboardTitle0",
"Always FREE","ಯಾವಾಗಲೂ ಉಚಿತ",,"onboardSubTitle0",
"Welcome to a safe way to scan QR codes! With SEQR you can now see what is behind the QR, be informed about the security of the code, and whether it is safe or risky.","ಸುರಕ್ಷಿತ ರೀತಿಯಲ್ಲಿ ಸ್ಕ್ಯಾನ್ QR ಸಂಕೇತಗಳು ಸ್ವಾಗತ! SEQR ನೊಂದಿಗೆ ಇದೀಗ ನೋಡಬಹುದು QR ಹಿಂದೆ ಏನು, ಕೋಡ್ ಭದ್ರತೆಯ ಬಗ್ಗೆ ತಿಳಿಸಲಾಗುವುದು, ಮತ್ತು ಸುರಕ್ಷಿತ ಅಥವಾ ಅಪಾಯಕಾರಿ ಎಂದು.",,"onboardDescription0",
"Absolute Certainty in everyday transactions!","ದೈನಂದಿನ ವ್ಯವಹಾರಗಳಲ್ಲಿ ಸಂಪೂರ್ಣ ನಿಶ್ಚಿತತೆ!",,"onboardTopContent1",
"How does it ","ಹೇಗೆ ಅದು",,"onboardTitle1",
"WORK?","ಕೆಲಸ?",,"onboardSubTitle1",
"With SEQR, you can scan and read all kinds of QR Codes. It performs several checks using information from various online sources to identify potential security risks. It enables you to make informed decisions about whether or not to trust the codes and content.","SEQR, ನೀವು ಸ್ಕ್ಯಾನ್ ಮತ್ತು QR ಕೋಡ್ಸ್ ಎಲ್ಲಾ ರೀತಿಯ ಓದಬಹುದು. ಇದು ಸಂಭಾವ್ಯ ಭದ್ರತಾ ಅಪಾಯಗಳನ್ನು ಗುರುತಿಸಲು ವಿವಿಧ ಆನ್ಲೈನ್ ಮೂಲಗಳಿಂದ ಬಳಸಿಕೊಂಡು ಹಲವಾರು ಚೆಕ್ ನಿರ್ವಹಿಸುತ್ತದೆ. ಇದು ಸಂಕೇತಗಳು ಮತ್ತು ವಿಷಯವನ್ನು ನಂಬಲು ಎಂಬುದನ್ನು ಬಗ್ಗೆ ತೀರ್ಮಾನ ನೀವು ಶಕ್ತಗೊಳಿಸುತ್ತದೆ.",,"onboardDescription1",
"If you find a phishing web link, report it and help us make transactions safer","ನೀವು ಫಿಶಿಂಗ್ ವೆಬ್ ಲಿಂಕ್ ಹುಡುಕಲು ವೇಳೆ, ವರದಿ ಮಾಡಬಹುದು ಮತ್ತು ವ್ಯವಹಾರ ಸುರಕ್ಷಿತವಾಗಿರಿಸಲು ಸಹಾಯ",,"onboardCenterContent2",
"Join the movement for a","ಒಂದು ಚಳುವಳಿ ಸೇರಲು",,"onboardTitle2",
"Safer Internet","ಸುರಕ್ಷಿತ ಇಂಟರ್ನೆಟ್",,"onboardSubTitle2",
"Each time you come across an incorrectly categorized information, please report it to help more people stay safer online.","ನೀವು ತಪ್ಪಾಗಿ ವರ್ಗೀಕರಿಸಲಾಗಿದೆ ಮಾಹಿತಿ ಬರುವ ಪ್ರತಿ ಬಾರಿಯೂ ಹೆಚ್ಚು ಜನರು ಆನ್ಲೈನ್ ಸುರಕ್ಷಿತ ಉಳಿಯಲು ಸಹಾಯ ಅದನ್ನು ವರದಿ ಮಾಡಿ.",,"onboardDescription2",
"Proceeding without access","ಸಂಪರ್ಕವನ್ನೇ ಮುಂದುವರಿಯುವುದಕ್ಕೆ",,"permProceedWithout",
"SEQR needs access to ","SEQR ಪ್ರವೇಶ ಅಗತ್ಯವಿದೆ",,"permSeqrAsk",
"Deny","ನಿರಾಕರಿಸು",,"permDeny",
"Camera","ಕ್ಯಾಮೆರಾ",,"permAccessCamera",
"to scan QR Codes","QR ಸಂಕೇತಗಳು ಸ್ಕ್ಯಾನ್",,"permCameraReason",
"Storage,","ಶೇಖರಣಾ,",,"permAccessStorage",
"to read uploaded QR Code images","ಅಪ್ಲೋಡ್ QR ಕೋಡ್ ಚಿತ್ರಗಳನ್ನು ಓದಲು",,"permStorageReason",
"Location","ಸ್ಥಳ",,"permAccessLocation",
"to remind you of where a QR Code (in activity) was scanned","ಒಂದು QR ಕೋಡ್ (ಚಟುವಟಿಕೆ) ಸ್ಕ್ಯಾನ್ ಅಲ್ಲಿ ನೀವು ನೆನಪಿನಲ್ಲಿ",,"permLocationReason",
"Grant permissions","ಅನುಮತಿಗಳನ್ನು ನೀಡಿರಿ",,"permGrant",
"(Not Secure!)","(ಸುರಕ್ಷಿತ ಅಲ್ಲ!)",,"dBtnWarning",
"(Dangerous!)","(ಡೇಂಜರಸ್!)",,"dBtnRisky",
"Copied QR Content","ನಕಲು QR ವಿಷಯ",,"dQrContentCopied",
"Translated Text","ಅನುವಾದ ಪಠ್ಯ",,"dTranslatedText",
"No Camera Access","ಕ್ಯಾಮೆರಾವಿಲ್ಲ ಪ್ರವೇಶ",,"scanNoCameraAccess",
"Without access to the Camera, SEQR can't scan QR Codes","ಕ್ಯಾಮೆರಾ ಪ್ರವೇಶವನ್ನು ಇಲ್ಲದೆ, SEQR ನಾಟ್ ಸ್ಕ್ಯಾನ್ QR ಸಂಕೇತಗಳು ಮಾಡಬಹುದು",,"scanNoCameraAccessDetail",
"Timeout. No QRs Scanned","ಮುಗಿಯಿತು. ಯಾವುದೇ QRs ಸ್ಕ್ಯಾನ್",,"scanTimeout",
