Key,Translated Text
Scan,স্ক্যান
Settings,সেটিংস
Activity,কার্যকলাপ
seqrByDhiway,DHIWAY দ্বারা SEQR
noHistoryUseScan,তোমার মত দেখতে এখনো কোনো কিউ কোড স্ক্যান করেন নি! এন্ট্রি এখানে দেখার জন্য QR কোড স্ক্যান দয়া করে
disableActivityMessage,"তুমি তোমার স্ক্যান কার্যকলাপের অক্ষম রেকর্ডিং আছে। আপনি এটি সক্রিয় করতে চান, অনুগ্রহ করে সেটিংস পৃষ্ঠাতে যান এটিকে পুনরায় সক্ষম। SEQR অ্যাপ্লিকেশন ক্রিয়াকলাপ রেকর্ডিং ছাড়া কোন ধরনের সমস্যা ছাড়া কাজ চলতে থাকবে। ক্যামেরা খোলা করতে নিচের স্ক্যান ক্লিক করুন কোড স্ক্যান করতে"
onboardTitle0,SEQR হয়
onboardSubTitle0,সবসময় ফ্রি
onboardDescription0,স্ক্যান কিউ কোড নেওয়ার জন্য একটি নিরাপদ উপায় স্বাগতম! SEQR দিয়ে আপনি এখন তা দেখতে পারেন কিউ পশ্চাতে আছে এবং তা নিরাপদ বা ঝুঁকিপূর্ণ কোডের নিরাপত্তা সম্পর্কে অবগত করা।
onboardTopContent1,দৈনন্দিন লেনদেন সম্পূর্ণ নিশ্চিতভাবে!
onboardTitle1,কিভাবে এটা আছে
onboardSubTitle1,কাজ?
onboardDescription1,"SEQR সঙ্গে, আপনি স্ক্যান এবং কিউ কোড সব ধরণের পড়তে পারেন। এটি বিভিন্ন অনলাইন উত্স থেকে তথ্য ব্যবহার করে সম্ভাব্য নিরাপত্তা ঝুঁকি চিহ্নিত করার জন্য বেশ কিছু চেক সম্পাদন করে। এটা তোলে থাকুক বা না থাকুক কোড এবং বিষয়বস্তু বিশ্বাস করতে সম্পর্কে অবগত সিদ্ধান্ত নিতে সক্ষম করে।"
onboardCenterContent2,"আপনি যদি একটি ফিশিং ওয়েব লিঙ্ক খুঁজে পান, তাহলে সে বিষয়ে রিপোর্ট এবং সাহায্যের আমাদের লেনদেনের নিরাপদ করতে"
onboardTitle2,একটি আন্দোলনের সাথে যোগ দিন
onboardSubTitle2,নিরাপদ ইন্টারনেট
onboardDescription2,"যখনই আপনি ভুল শ্রেণীকরণ তথ্য জুড়ে আসা, সে বিষয়ে রিপোর্ট সাহায্য করার জন্য আরও অনেক বেশি মানুষের অনলাইন নিরাপদ থাকার দয়া করে।"
permProceedWithout,অ্যাক্সেস ছাড়া কার্যধারা
permSeqrAsk,SEQR অ্যাক্সেস করা প্রয়োজন
permDeny,অস্বীকার করা
permAccessCamera,ক্যামেরা
permCameraReason,কিউ কোড স্ক্যান করতে
permAccessStorage,"সংরক্ষণ,"
permStorageReason,আপলোড করা QR কোড ইমেজ পড়তে
permAccessLocation,অবস্থান
permLocationReason,যেখানে একটি QR কোড (ইন কার্যকলাপ) স্ক্যান হয়েছিল আপনাকে মনে করিয়ে দিতে
permGrant,অনুমতিগুলি নিশ্চিত
dBtnWarning,(নিরাপদ নয়!)
dBtnRisky,(ডেঞ্জারাস!)
dQrContentCopied,অনুলিপি করা কিউ বিষয়বস্তু
dTranslatedText,অনূদিত পাঠ্য
scanNoCameraAccess,কোনো ক্যামেরা অ্যাক্সেস
scanNoCameraAccessDetail,ক্যামেরা অ্যাক্সেস না থাকলে SEQR না স্ক্যানের কিউ কোড করতে পারেন
scanTimeout,সময় শেষ. কোন QRs স্ক্যান
scanTimeoutText,গত 30 সেকেন্ডের মধ্যে কোনো কোড স্ক্যান করা স্ক্যান ট্যাবটি পুনরায় খুলুন যখন আপনি স্ক্যান করতে প্রস্তুত হয়। \ n \ n জন্য দীর্ঘ ব্যাটারির চার্জ শেষ হয়ে পারে ক্যামেরা nKeeping। \ ভ্রমণ ট্যাব nOpening।
scanQrHint,স্ক্যান করার জন্য একটি কোড পাবেন
